Early Geometric (Greek; 900-850 BC),"The Early Geometric period in ancient Greece, from 900-850 before the birth of Christ. [[-900, -850]]",,
Middle Geometric (Greek; 850-750 BC),"The Middle Geometric period in ancient Greece, from 850-750 before the birth of Christ. [[-850, -750]]",,
Archaic (Greco-Roman; 750-550 BCE/BC),"The Archaic period in Greek and Roman history. For the purposes of Pleiades, this period is seen to begin in the year 750 and end in the year 550 before the birth of Christ. [[-750, -550]]",,
Classical (Greco-Roman; 550 BC-330 BC),"The Classical period in Greek and Roman history. For the purposes of Pleiades, this period is said to begin in the year 550 and end in the year 330 before the birth of Christ. [[-550, -330]]",,
Hellenistic Greek," Roman Republic (330 BC-30 BC)""","The Hellenistic period in Greek history and the middle-to-late Republican period in Roman history. For the purposes of Pleiades, this period is said to begin in the year 330 and end in the year 30 before the birth of Christ. [[-330, -30]]",
Roman," early Empire (30 BC-AD 300)""","The Roman period (i.e., the early Roman Empire) in Greek and Roman history. For the purposes of Pleiades, this period is said to begin in the year 30 before the birth of Christ and to end in the year 300 after the birth of Christ. [[-30, 300]]",
Late Antique (AD 300-AD 640),"The Late Antique period in Greek and Roman history. For the purposes of Pleiades, this period is said to begin in the year 300 and to end in the year 640 after the birth of Christ. [[300, 640]]",,
Mediaeval/Byzantine (AD 641-AD 1453),"The Mediaeval period in the West, or the period from the end of Late Antiquity (640) to the fall of Constantinople in the East (1453). [[640, 1453]]",,
Early Byzantine (AD 650-850),"Early Byzantine Period in areas where such designations are appropriate. [[650, 850]]",,
Modern (AD 1700-Present),"Our present, modern era. [[1700, 2100]]",,
Middle Byzantine (AD 850-1200),"Middle Byzantine period in areas where such designations are appropriate. [[850, 1200]]",,
Late Byzantine Period (AD 1200-1450),"Late Byzantine Period in contexts where such designations are appropriate. [[1200, 1450]]",,
Neolithic Egypt (6000-4500 BCE/BC),"The Neolithic period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-6000, -4500]]",,
Predynastic Egypt (4500-2950 BCE/BC),"The predynastic period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-4500, -2950]]",,
Early Dynastic Egypt (2950-2670 BCE/BC),"The Early Dynastic period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-2950, -2670]]",,
Old Kingdom Egypt (2670-2168 BCE/BC),"The Old Kingdom period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-2670, -2168]]",,
First Intermediate Period Egypt (2168-2010 BCE/BC),"The First Intermediate Period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-2168, -2010]]",,
Middle Kingdom Egypt (2010-1640 BCE/BC),"The Middle Kingdom period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-2010, -1640]]",,
Second Intermediate Period Egypt (1640-1548),"The Second Intermediate period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-1640, -1548]]",,
New Kingdom Egypt (1548-1086),"The New Kingdom period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-1548, -1086]]",,
Third Intermediate Period Egypt (1086-664),"The Third Intermediate period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-1086, -664]]",,
Late Period Egypt (664-332),"The Late Period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-664, -332]]",,
Macedonian Egypt (332-304 BCE/BC),"The Macedonian period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-332, -304]]",,
Ptolemaic Egypt (304-30 BCE/BC),"The Ptolemaic period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-304, -30]]",,
