FID,the_geom,MAJ_MINOR,SOURCE
ming_courier_routes_2014_kei.1,"MULTILINESTRING ((116.36800384521484 39.931427001953125, 116.65880584716797 39.905921936035156))",2,
ming_courier_routes_2014_kei.2,"MULTILINESTRING ((116.65880584716797 39.905921936035156, 117.07611846923828 39.9827880859375))",2,
ming_courier_routes_2014_kei.3,"MULTILINESTRING ((117.07611846923828 39.9827880859375, 117.40181732177734 40.04386520385742))",2,
ming_courier_routes_2014_kei.4,"MULTILINESTRING ((117.40181732177746 40.043865203857536, 117.69675399999994 40.112427000000025))",2,MDYZK
ming_courier_routes_2014_kei.5,"MULTILINESTRING ((117.75477600097656 39.883670806884766, 118.13489532470703 39.82760238647461))",2,
ming_courier_routes_2014_kei.6,"MULTILINESTRING ((118.13489532470703 39.82760238647455, 118.46919200000002 39.866401999999994))",2,MDYZK
ming_courier_routes_2014_kei.7,"MULTILINESTRING ((118.46919200000002 39.866401999999994, 118.86199951171875 39.876998901367244))",2,MDYZK
ming_courier_routes_2014_kei.8,"MULTILINESTRING ((118.86199951171875 39.87699890136719, 119.23016357421875 39.88467025756836))",2,MDYZK
ming_courier_routes_2014_kei.9,"MULTILINESTRING ((119.23016357421898 39.88467025756836, 119.77024100000017 40.01019299999996))",2,MDYZK
ming_courier_routes_2014_kei.10,"MULTILINESTRING ((116.36800384521496 39.93142700195324, 116.28398900000002 39.84944900000011))",1,
ming_courier_routes_2014_kei.11,"MULTILINESTRING ((116.13558197021484 39.74125289916992, 115.96814727783203 39.487220764160156))",1,
ming_courier_routes_2014_kei.12,"MULTILINESTRING ((115.96814727783203 39.48722076416027, 115.7741928100586 39.269592285156364))",1,
ming_courier_routes_2014_kei.13,"MULTILINESTRING ((115.7741928100586 39.26959228515625, 115.65738677978516 39.01943588256836))",1,
ming_courier_routes_2014_kei.14,"MULTILINESTRING ((115.65738677978527 39.01943588256847, 115.55066700000009 38.95052300000009))",1,1903 atlas
ming_courier_routes_2014_kei.15,"MULTILINESTRING ((116.00833100000011 39.11051600000002, 116.09270477294922 38.97587966918951))",1,1903 atlas
ming_courier_routes_2014_kei.16,"MULTILINESTRING ((116.09270477294922 38.97587966918951, 116.10706300000015 38.860367))",1,1903 atlas
ming_courier_routes_2014_kei.17,"MULTILINESTRING ((116.07120800000018 38.56557000000009, 116.08553314208996 38.43569946289074))",1,1903 atlas
ming_courier_routes_2014_kei.18,"MULTILINESTRING ((116.08553314208984 38.435699462890625, 116.11489868164062 38.190696716308594))",1,
ming_courier_routes_2014_kei.19,"MULTILINESTRING ((116.11489868164062 38.190696716308594, 116.28511810302734 38.01704406738281))",1,1903 atlas
ming_courier_routes_2014_kei.20,"MULTILINESTRING ((116.28511810302734 38.017044067382926, 116.26667022705078 37.95000076293957))",1,1903 atlas
ming_courier_routes_2014_kei.21,"MULTILINESTRING ((116.14470672607422 37.86817932128906, 116.25810241699219 37.68800735473633))",1,
ming_courier_routes_2014_kei.22,"MULTILINESTRING ((116.25810241699219 37.68800735473633, 116.28741455078125 37.45164489746094))",1,MDYZK
ming_courier_routes_2014_kei.23,"MULTILINESTRING ((116.28741455078125 37.45164489746094, 116.42906951904297 37.15773391723633))",1,MDYZK
ming_courier_routes_2014_kei.24,"MULTILINESTRING ((116.42906951904297 37.15773391723633, 116.65238952636719 36.94535827636719))",1,MDYZK
ming_courier_routes_2014_kei.25,"MULTILINESTRING ((116.65238952636719 36.94535827636719, 116.78063201904297 36.70107650756836))",1,MDYZK
ming_courier_routes_2014_kei.26,"MULTILINESTRING ((116.78063201904297 36.70107650756836, 117.0014877319336 36.65013122558594))",1,MDYZK
ming_courier_routes_2014_kei.27,"MULTILINESTRING ((115.1334228515625 38.705265045166016, 114.97504425048828 38.52006149291992))",1,
ming_courier_routes_2014_kei.28,"MULTILINESTRING ((114.97504425048828 38.52006149291992, 114.78760528564453 38.395042419433594))",1,
ming_courier_routes_2014_kei.29,"MULTILINESTRING ((114.78760528564464 38.39504241943371, 114.5636444091798 38.1401100158692))",1,1903 atlas
ming_courier_routes_2014_kei.30,"MULTILINESTRING ((114.65269470214844 37.885780334472656, 114.77217864990234 37.752925872802734))",1,MDYZK
ming_courier_routes_2014_kei.31,"MULTILINESTRING ((114.68058013916027 37.49468994140625, 114.5118637084961 37.29500198364269))",1,MDYZK
ming_courier_routes_2014_kei.32,"MULTILINESTRING ((114.5118637084961 37.29500198364258, 114.4942626953125 37.06635665893555))",1,
ming_courier_routes_2014_kei.33,"MULTILINESTRING ((114.49426269531261 37.06635665893555, 114.49961900000005 36.936829000000046))",1,1903 atlas
ming_courier_routes_2014_kei.34,"MULTILINESTRING ((114.42361450195312 36.47360992431652, 114.37424468994163 36.359043121338004))",1,
ming_courier_routes_2014_kei.35,"MULTILINESTRING ((114.3742446899414 36.35904312133789, 114.34549713134766 36.09834289550781))",1,
