FID,the_geom,SRC,STATUS,SYS_ID,YZ_LABEL,YZNM_PY,YZNM_CH,YZNM_FT,AT_TWN_PY,GB10_CNTY,10CNTY_CH,10CNTY_EN,10DIST_CH,10DIST_EN,10PROV_CH,10PROV_EN,CHGIS_ID,long,lat
ming_courier_stations_2014_p8k.1,POINT (102.7103500366211 25.045913696289062),PA_1903,L,1,YUNNANFU Yunnan (???),YUNNANFU,???,???,,530103,???,Panlong,???,Kunming,???,Yunnan,,102.71035,25.04591
ming_courier_stations_2014_p8k.2,POINT (103.06188999999999 25.220108000000018),PA_1903,L,2,YANGLIN Yunnan (??),YANGLIN,??,??,,530127,???,Songming,???,Kunming,???,Yunnan,1507,103.06189,25.22011
ming_courier_stations_2014_p8k.3,POINT (103.25371551513672 25.562204360961914),PA_1903,B,3,XUNDIAN GUCHENG Yunnan (??),XUNDIAN GUCHENG,??,??,,530129,?????????,Xundianhuizuyizuzhzhixian,???,Kunming,???,Yunnan,,103.25372,25.5622
ming_courier_stations_2014_p8k.4,POINT (103.58020782470703 25.428434371948242),PA_1903,B,4,MALONG Yunnan (??),MALONG,??,??,,530321,???,Malong,???,Qujing,???,Yunnan,1509,103.58021,25.42843
ming_courier_stations_2014_p8k.5,POINT (103.7967758178711 25.4958438873291),PA_1903,L,5,NANNING XIAN Yunnan (???),NANNING XIAN,???,???,,530302,???,Qilin,???,Qujing,???,Yunnan,1504,103.79678,25.49584
ming_courier_stations_2014_p8k.6,POINT (103.82211303710938 25.609928131103516),PA_1903,B,6,ZHANYI Yunnan (??),ZHANYI,??,??,,530328,???,Zhanyi,???,Qujing,???,Yunnan,1506,103.82211,25.60993
ming_courier_stations_2014_p8k.7,POINT (103.84713745117188 36.04703140258789),MDYZK,Y,7,LANQUANYI Gansu (???),LANQUANYI,???,???,Lanzhou f,620102,???,Chengguan,???,Lanzhou,???,Gansu,20024,103.84714,36.04703
ming_courier_stations_2014_p8k.8,POINT (104.07799530029297 30.6503849029541),MDYZK,N,8,JINGUANYI Sichuan (???),JINGUANYI,???,???,JINGUAN,510104,???,Jinjiang,???,Chengdu,???,Sichuan,1168,104.078,30.65038
ming_courier_stations_2014_p8k.9,POINT (104.10787200927734 35.84682083129883),MDYZK,Y,9,QINGSHUI Gansu (???),QINGSHUI,???,???,,620123,???,Yuzhong,???,Lanzhou,???,Gansu,,104.10787,35.84682
ming_courier_stations_2014_p8k.10,POINT (104.1605453491211 30.831390380859375),MDYZK,Y,10,XINDU Sichuan (???),XINDU,???,???,,510114,???,Xindu,???,Chengdu,???,Sichuan,,104.16055,30.83139
ming_courier_stations_2014_p8k.11,POINT (104.62030792236328 35.57509231567383),MDYZK,N,12,YANSHOUYI Gansu (???),YANSHOUYI,???,???,ANDING,621102,???,Anding,???,Dingxi,???,Gansu,850,104.62031,35.57509
ming_courier_stations_2014_p8k.12,POINT (104.64989471435547 25.793142318725586),MDYZK,Y,13,PU'AN Guizhou (??),PU'AN,??,??,,520222,??,Pan,????,Liupanshui,???,Guizhou,,104.64989,25.79314
ming_courier_stations_2014_p8k.13,POINT (104.74929809570312 31.459007263183594),MDYZK,Y,14,JINSHANYI Sichuan (???),JINSHANYI,???,???,MIANZHOU,510703,???,Fucheng,???,Mianyang,???,Sichuan,9705,104.7493,31.45901
ming_courier_stations_2014_p8k.14,POINT (104.95207977294922 25.788410186767578),MDYZK,Y,15,XINXING Guizhou (???),XINXING,???,???,,522323,???,Puan,????,Qianxinanbuyizumiaozu,???,Guizhou,444,104.95208,25.78841
ming_courier_stations_2014_p8k.15,POINT (105.05613708496094 35.69419860839844),MDYZK,N,16,BAONINGYI Gansu (???),BAONINGYI,???,???,HUINING,620422,???,Huining,???,Baiyin,???,Gansu,177,105.05614,35.6942
ming_courier_stations_2014_p8k.16,POINT (105.21588134765625 25.83346939086914),MDYZK,L,17,WEIJIUYI Guizhou (???),WEIJIUYI,???,???,,522324,???,Qinglong,????,Qianxinanbuyizumiaozu,???,Guizhou,446,105.21588,25.83347
ming_courier_stations_2014_p8k.17,POINT (105.48582458496094 25.910207748413086),MDYZK,Y,18,CHACHENG Guizhou (??),CHACHENG,??,??,,520424,??????????,Guanlingbuyizumiaozuzhzhixi,???,Anshun,???,Guizhou,1040,105.48582,25.91021
ming_courier_stations_2014_p8k.18,POINT (105.72882080078125 35.52409744262695),MDYZK,Y,19,JINGYANG Gansu (???),JINGYANG,???,???,,620826,???,Jingning,???,Pingliang,???,Gansu,179,105.72882,35.5241
ming_courier_stations_2014_p8k.19,POINT (105.76355743408203 26.054595947265625),MDYZK,Y,20,ANZHUANG Guizhou (???),ANZHUANG,???,???,,520423,??????????,Zhenningbuyizumiaozuzhzhixi,???,Anshun,???,Guizhou,421,105.76356,26.0546
ming_courier_stations_2014_p8k.20,POINT (105.83299255371094 32.44388961791992),MDYZK,Y,21,WENJINYI Sichuan (???),WENJINYI,???,???,GUANGYUAN,510802,???,Shizhong,???,Guangyuan,???,Sichuan,1121,105.83299,32.44389
ming_courier_stations_2014_p8k.21,POINT (105.92786407470703 26.243244171142578),MDYZK,N,22,PULIYI Guizhou (???),PULIYI,???,???,,520402,???,Xixiu,???,Anshun,???,Guizhou,420,105.92786,26.24324
ming_courier_stations_2014_p8k.22,POINT (106.12223815917969 35.61709213256836),MDYZK,Y,23,LONGCHENG Ningxia (???),LONGCHENG,???,???,,640423,???,Longde,???,Guyuan,???????,Ningxia,182,106.12224,35.61709
ming_courier_stations_2014_p8k.23,POINT (106.26085662841797 26.417787551879883),MDYZK,Y,24,PINGBA Guizhou (???),PINGBA,???,???,,520421,???,Pingba,???,Anshun,???,Guizhou,,106.26086,26.41779
ming_courier_stations_2014_p8k.24,POINT (106.46762084960938 26.556049346923828),MDYZK,Y,25,WEIQING Guizhou (???),WEIQING,???,???,,520181,???,Qingzhen,???,Guiyang,???,Guizhou,424,106.46762,26.55605
