collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;status;source;comment
courier;1;YUNNANFU Yunnan (云南府);http://maps.cga.harvard.edu/tgaz/placename/hvd_9755;;102.710350;25.045914;L;PA_1903;
courier;2;YANGLIN Yunnan (杨林);http://maps.cga.harvard.edu/tgaz/placename/hvd_80685;;103.061890;25.220108;L;PA_1903;
courier;3;XUNDIAN GUCHENG Yunnan (寻甸);http://maps.cga.harvard.edu/tgaz/placename/hvd_1574;;103.253716;25.562204;B;PA_1903;
courier;4;MALONG Yunnan (马龙);http://maps.cga.harvard.edu/tgaz/placename/hvd_1575;;103.580208;25.428434;B;PA_1903;
courier;5;NANNING XIAN Yunnan (南宁县);http://maps.cga.harvard.edu/tgaz/placename/hvd_121501;;103.796776;25.495844;L;PA_1903;
courier;6;ZHANYI Yunnan (沾益);http://maps.cga.harvard.edu/tgaz/placename/hvd_1570;;103.822113;25.609928;B;PA_1903;
courier;7;LANQUANYI Gansu (兰泉驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_70091;;103.847137;36.047031;Y;MDYZK;Lanzhou f
courier;8;JINGUANYI Sichuan (锦官驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_44394;;104.077995;30.650385;N;MDYZK;JINGUAN
courier;9;QINGSHUI Gansu (清水驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_70099;;104.107872;35.846821;Y;MDYZK;
courier;10;XINDU Sichuan (新都驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_44418;;104.160545;30.831390;Y;MDYZK;
courier;12;YANSHOUYI Gansu (延寿驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_70008;;104.620308;35.575092;N;MDYZK;ANDING
courier;13;PU'AN Guizhou (普安);http://maps.cga.harvard.edu/tgaz/placename/hvd_99346;;104.649895;25.793142;Y;MDYZK;
courier;14;JINSHANYI Sichuan (金山驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_9705;;104.749298;31.459007;Y;MDYZK;MIANZHOU
courier;15;XINXING Guizhou (新兴驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_99348;;104.952080;25.788410;Y;MDYZK;
courier;16;BAONINGYI Gansu (保宁驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_70016;;105.056137;35.694199;N;MDYZK;HUINING
courier;17;WEIJIUYI Guizhou (尾酒驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_99338;;105.215881;25.833469;L;MDYZK;
courier;18;CHACHENG Guizhou (查城);http://maps.cga.harvard.edu/tgaz/placename/hvd_99021;;105.485825;25.910208;Y;MDYZK;
courier;19;JINGYANG Gansu (泾阳驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_245;;105.728821;35.524097;Y;MDYZK;
courier;20;ANZHUANG Guizhou (安庄驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_99025;;105.763557;26.054596;Y;MDYZK;
courier;21;WENJINYI Sichuan (问津驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_44592;;105.832993;32.443890;Y;MDYZK;GUANGYUAN
courier;22;PULIYI Guizhou (普利驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_99030;;105.927864;26.243244;N;MDYZK;
courier;23;LONGCHENG Ningxia (隆城驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_248;;106.122238;35.617092;Y;MDYZK;
courier;24;PINGBA Guizhou (平坝驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_99395;;106.260857;26.417788;Y;MDYZK;
courier;25;WEIQING Guizhou (威清驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_99155;;106.467621;26.556049;Y;MDYZK;
courier;26;FENGXIANG Shaanxi (凤县);http://maps.cga.harvard.edu/tgaz/placename/hvd_71071;;106.622940;33.945248;N;MDYZK;
courier;27;WATING Ningxia (瓦亭驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_152128;;106.319969;35.691391;Y;MDYZK;nearest town
courier;28;GAOPING Gansu (高平驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_70159;;106.685661;35.535847;Y;MDYZK;
courier;29;HUANGHUA Guizhou (贵州驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_494;;106.709114;26.580778;N;MDYZK;Guiyang f
courier;30;MIANXIAN Shaanxi (勉县);http://maps.cga.harvard.edu/tgaz/placename/hvd_132146;;106.774803;33.137901;L;PA_1903;nearest town
courier;31;BAOCHENG Shaanxi (褒城);http://maps.cga.harvard.edu/tgaz/placename/hvd_958;;106.969261;33.200390;Y;MDYZK;
courier;32;LONGLI Guizhou (龙里驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_99152;;106.981064;26.458336;Y;MDYZK;
courier;33;CHENCANG Shaanxi (陈仓驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_70926;;107.140388;34.381870;Y;MDYZK;BAOJI
courier;34;BAISHUI Gansu (白水驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_16844;;106.975792;35.429417;Y;MDYZK;Near Baishui Zhen (not in CHGIS)
