# title: Ming Dynasty Courier Routes and Postal Stations
# places: places_courier.csv
# timespan: [1368,,,1644,Late Ming Dynasty]
# pub_date: 2014
# segmentType: hroute
# contributors: [Lex Berman (CGA, Harvard Univ); Zhang Wei (Nankai University, Tianjin)]
# description: The Late Ming Dynasty Courier Stations and Routes were compiled primarily from the "Mingdai Yizhankao" by YANG Zhengtai, supplemented for some areas with information derived from the 1908 Postal Atlas. The Courier Stations and Routes were developed for use in an online network analyst application, which calculates the shortest route between selected postal stations on the fly:    http://maps.cga.harvard.edu/chinapostoffice/
# uri: https://github.com/kgeographer/topotime/tree/master/data/source/courier/README_Ming_Courier_Routes_Stations_2014.txt
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;maj_minor;src
courier;4000;4000-1;188;193;HUITONGGUAN Beijing (会同馆) - LUHE Beijing (潞河驿);{"type":"MultiLineString","coordinates":[[[116.368003845215,39.9314270019531],[116.658805847168,39.9059219360352]]]};;;;2;
courier;4000;4000-2;193;202;LUHE Beijing (潞河驿) - SANHE Hebei (三河驿);{"type":"MultiLineString","coordinates":[[[116.658805847168,39.9059219360352],[117.076118469238,39.9827880859375]]]};;;;2;
courier;4000;4000-3;202;206;SANHE Hebei (三河驿) - YUYANG Tianjin (渔阳驿);{"type":"MultiLineString","coordinates":[[[117.076118469238,39.9827880859375],[117.401817321777,40.0438652038574]]]};;;;2;
courier;4000;4000-4;206;571;YUYANG Tianjin (渔阳驿) - SHIMENZHENYI Hebei (石门镇驿);{"type":"MultiLineString","coordinates":[[[117.401817321777,40.0438652038575],[117.696754,40.112427]]]};;;;2;MDYZK
courier;4000;4000-5;211;214;YANGFAN Hebei (阳樊驿) - YIFENG Hebei (义丰驿);{"type":"MultiLineString","coordinates":[[[117.754776000977,39.8836708068848],[118.134895324707,39.8276023864746]]]};;;;2;
courier;4000;4000-6;214;223;YIFENG Hebei (义丰驿) - QIJIALINGYI Hebei (七家岭驿);{"type":"MultiLineString","coordinates":[[[118.134895324707,39.8276023864746],[118.469192,39.866402]]]};;;;2;MDYZK
courier;4000;4000-7;223;225;QIJIALINGYI Hebei (七家岭驿) - LUANHE Hebei (滦河驿);{"type":"MultiLineString","coordinates":[[[118.469192,39.866402],[118.861999511719,39.8769989013672]]]};;;;2;MDYZK
courier;4000;4000-8;225;231;LUANHE Hebei (滦河驿) - LUFENGKOU Hebei (芦峰口驿);{"type":"MultiLineString","coordinates":[[[118.861999511719,39.8769989013672],[119.230163574219,39.8846702575684]]]};;;;2;MDYZK
courier;4000;4000-9;231;578;LUFENGKOU Hebei (芦峰口驿) - YUGUANYI Hebei (榆关驿);{"type":"MultiLineString","coordinates":[[[119.230163574219,39.8846702575684],[119.770241,40.010193]]]};;;;2;MDYZK
courier;4000;4000-10;188;492;HUITONGGUAN Beijing (会同馆) - FENGTAI Beijing (丰台区);{"type":"MultiLineString","coordinates":[[[116.368003845215,39.9314270019532],[116.283989,39.8494490000001]]]};;;;1;
courier;4000;4000-11;170;178;ZHULUYI Hebei (逐鹿驿) - LANGXIANG Beijing (固节驿);{"type":"MultiLineString","coordinates":[[[116.135581970215,39.7412528991699],[115.968147277832,39.4872207641602]]]};;;;1;
courier;4000;4000-12;167;170;XUANHUAYI Hebei (宣化驿) - ZHULUYI Hebei (逐鹿驿);{"type":"MultiLineString","coordinates":[[[115.968147277832,39.4872207641603],[115.774192810059,39.2695922851564]]]};;;;1;
courier;4000;4000-13;163;167;BAIGOU Hebei (白沟驿) - XUANHUAYI Hebei (宣化驿);{"type":"MultiLineString","coordinates":[[[115.774192810059,39.2695922851562],[115.657386779785,39.0194358825684]]]};;;;1;
courier;4000;4000-14;163;501;BAIGOU Hebei (白沟驿) - BAIGOUYI Hebei (白沟驿);{"type":"MultiLineString","coordinates":[[[115.657386779785,39.0194358825685],[115.550667,38.9505230000001]]]};;;;1;1903 atlas
courier;4000;4000-15;175;497;GUIYI Hebei (归义驿) - FENSHUIYI Hebei (汾水驿);{"type":"MultiLineString","coordinates":[[[116.008331,39.110516],[116.092704772949,38.9758796691895]]]};;;;1;1903 atlas
courier;4000;4000-16;175;498;GUIYI Hebei (归义驿) - MAOZHOUZHEN Hebei (鄚州镇);{"type":"MultiLineString","coordinates":[[[116.092704772949,38.9758796691895],[116.107063,38.860367]]]};;;;1;1903 atlas
courier;4000;4000-17;173;499;YINGHAIYI Hebei (瀛海驿) - SANSHILIPU Hebei (三十里铺);{"type":"MultiLineString","coordinates":[[[116.071208,38.5655700000001],[116.08553314209,38.4356994628907]]]};;;;1;1903 atlas
courier;4000;4000-18;173;177;YINGHAIYI Hebei (瀛海驿) - LECHENG Hebei (乐城驿);{"type":"MultiLineString","coordinates":[[[116.08553314209,38.4356994628906],[116.114898681641,38.1906967163086]]]};;;;1;
courier;4000;4000-19;177;185;LECHENG Hebei (乐城驿) - FUZHUANG Hebei (富庄驿);{"type":"MultiLineString","coordinates":[[[116.114898681641,38.1906967163086],[116.285118103027,38.0170440673828]]]};;;;1;1903 atlas
courier;4000;4000-20;185;506;FUZHUANG Hebei (富庄驿) - JIANQIAOZHEN Hebei (建桥镇);{"type":"MultiLineString","coordinates":[[[116.285118103027,38.0170440673829],[116.266670227051,37.9500007629396]]]};;;;1;1903 atlas
courier;4000;4000-21;179;182;FUCHENG Hebei (阜城驿) - DONGGUANG Hebei (东光驿);{"type":"MultiLineString","coordinates":[[[116.144706726074,37.8681793212891],[116.258102416992,37.6880073547363]]]};;;;1;
courier;4000;4000-22;182;186;DONGGUANG Hebei (东光驿) - ANDE Shandong (安德);{"type":"MultiLineString","coordinates":[[[116.258102416992,37.6880073547363],[116.287414550781,37.4516448974609]]]};;;;1;MDYZK
courier;4000;4000-23;186;189;ANDE Shandong (安德) - TAOYUAN Shandong (桃源驿);{"type":"MultiLineString","coordinates":[[[116.287414550781,37.4516448974609],[116.429069519043,37.1577339172363]]]};;;;1;MDYZK
courier;4000;4000-24;189;192;TAOYUAN Shandong (桃源驿) - LIUPU Shandong (刘普驿);{"type":"MultiLineString","coordinates":[[[116.429069519043,37.1577339172363],[116.652389526367,36.9453582763672]]]};;;;1;MDYZK
courier;4000;4000-25;192;195;LIUPU Shandong (刘普驿) - YANCHENG Shandong (宴城驿);{"type":"MultiLineString","coordinates":[[[116.652389526367,36.9453582763672],[116.780632019043,36.7010765075684]]]};;;;1;MDYZK
courier;4000;4000-26;195;201;YANCHENG Shandong (宴城驿) - TANGCHENGYI Shandong (谭城驿);{"type":"MultiLineString","coordinates":[[[116.780632019043,36.7010765075684],[117.001487731934,36.6501312255859]]]};;;;1;MDYZK
courier;4000;4000-27;156;158;YONGDING Hebei (永定驿) - DICHENG Hebei (翟城驿);{"type":"MultiLineString","coordinates":[[[115.133422851562,38.705265045166],[114.975044250488,38.5200614929199]]]};;;;1;
courier;4000;4000-28;151;156;XILE Hebei (西乐驿) - YONGDING Hebei (永定驿);{"type":"MultiLineString","coordinates":[[[114.975044250488,38.5200614929199],[114.787605285645,38.3950424194336]]]};;;;1;
courier;4000;4000-29;144;151;HENGSHANYI Hebei (恒山驿) - XILE Hebei (西乐驿);{"type":"MultiLineString","coordinates":[[[114.787605285645,38.3950424194337],[114.56364440918,38.1401100158692]]]};;;;1;1903 atlas
courier;4000;4000-30;145;149;GUANCHENG Hebei (关城驿) - ZHAOZHOU Hebei (鄗城驿);{"type":"MultiLineString","coordinates":[[[114.652694702148,37.8857803344727],[114.772178649902,37.7529258728027]]]};;;;1;MDYZK
