id;source;target;label;geom;maj_minor;src
29;142;143;LONGGANG Hebei (龙冈驿) - ZHONGQIUYI Hebei (中丘驿);{"type":"MultiLineString","coordinates":[[[114.511863708496,37.2950019836426],[114.494262695312,37.0663566589355]]]};1;
30;142;507;LONGGANG Hebei (龙冈驿) - LINMINGYI Hebei (临铭驿);{"type":"MultiLineString","coordinates":[[[114.494262695313,37.0663566589355],[114.499619,36.936829]]]};1;1903 atlas
32;137;140;YECHENG Henan (邺城驿) - CIZHOU Hebei (磁州);{"type":"MultiLineString","coordinates":[[[114.374244689941,36.3590431213379],[114.345497131348,36.0983428955078]]]};1;
33;137;139;YECHENG Henan (邺城驿) - YIGOU Henan (宜沟);{"type":"MultiLineString","coordinates":[[[114.345497131348,36.0983428955078],[114.352691650391,35.9255180358887]]]};1;
34;128;139;QIMEN Henan (淇门驿) - YIGOU Henan (宜沟);{"type":"MultiLineString","coordinates":[[[114.352691650391,35.9255180358887],[114.194366455078,35.6064491271973]]]};1;
35;127;128;WEIYUANYI Henan (卫源驿) - QIMEN Henan (淇门驿);{"type":"MultiLineString","coordinates":[[[114.194366455078,35.6064491271973],[114.070266723633,35.4103851318359]]]};1;
36;127;129;WEIYUANYI Henan (卫源驿) - LITINGYI Henan (廪廷驿);{"type":"MultiLineString","coordinates":[[[114.070266723633,35.4103851318359],[114.194686889648,35.1427612304688]]]};1;MDYZK
37;134;144;ZHENNING Hebei (镇宁驿) - HENGSHANYI Hebei (恒山驿);{"type":"MultiLineString","coordinates":[[[114.56364440918,38.1401100158691],[114.307723999023,38.0831108093262]]]};2;MDYZK
38;126;134;XINGSHAN Hebei (陉山驿) - ZHENNING Hebei (镇宁驿);{"type":"MultiLineString","coordinates":[[[114.307723999023,38.0831108093262],[114.017784118652,38.006160736084]]]};2;MDYZK
39;117;126;BAIJING Shanxi (柏井驿) - XINGSHAN Hebei (陉山驿);{"type":"MultiLineString","coordinates":[[[114.017784118652,38.006160736084],[113.805000305176,37.8194427490236]]]};2;MDYZK
40;114;117;PINGTANYI Shanxi (平潭驿) - BAIJING Shanxi (柏井驿);{"type":"MultiLineString","coordinates":[[[113.805000305176,37.8194427490236],[113.622268676758,37.8020362854004]]]};2;MDYZK
41;110;114;QINQUANYI Shanxi (芹泉驿) - PINGTANYI Shanxi (平潭驿);{"type":"MultiLineString","coordinates":[[[113.622268676758,37.8020362854004],[113.2743,37.8696020000001]]]};2;MDYZK
42;103;110;TAI'AN Shanxi (太安驿) - QINQUANYI Shanxi (芹泉驿);{"type":"MultiLineString","coordinates":[[[113.2743,37.8696020000001],[113.16870880127,37.8867835998536]]]};2;MDYZK
43;91;103;MINGQIAN Shanxi (鸣谦驿) - TAI'AN Shanxi (太安驿);{"type":"MultiLineString","coordinates":[[[113.16870880127,37.8867835998535],[112.697799682617,37.7678604125977]]]};2;MDYZK
44;89;91;LINFENYI Shanxi (临汾驿) - MINGQIAN Shanxi (鸣谦驿);{"type":"MultiLineString","coordinates":[[[112.697799682617,37.7678604125977],[112.478928,37.727589]]]};2;MDYZK
45;164;170;LAISHUI Hebei (涞水) - ZHULUYI Hebei (逐鹿驿);{"type":"MultiLineString","coordinates":[[[115.968147277832,39.4872207641603],[115.707802,39.391743]]]};1;1903 atlas
46;147;495;GUANGCHANG Hebei (广昌) - LIANGGEZHUANG Hebei (梁各庄);{"type":"MultiLineString","coordinates":[[[115.400124,39.3835370000001],[114.688774108887,39.3540153503417]]]};1;1903 atlas
47;130;147;TAIBAI Shanxi (太白驿) - GUANGCHANG Hebei (广昌);{"type":"MultiLineString","coordinates":[[[114.688774108887,39.3540153503418],[114.229217529297,39.437744140625]]]};1;MDYZK
48;122;130;WANGJIAZHUANG Shanxi (王家庄驿) - TAIBAI Shanxi (太白驿);{"type":"MultiLineString","coordinates":[[[114.229217529297,39.4377441406251],[113.916412,39.4309390000002]]]};1;MDYZK
49;105;602;FANZHI Shanxi (繁峙) - SHAJIANYI Shanxi (砂涧驿);{"type":"MultiLineString","coordinates":[[[113.544609,39.2751500000001],[113.272003173828,39.189998626709]]]};1;MDYZK
50;98;105;YANMEN Shanxi (雁门驿) - FANZHI Shanxi (繁峙);{"type":"MultiLineString","coordinates":[[[113.272003173828,39.189998626709],[112.949043273926,39.0603904724121]]]};1;MDYZK
51;93;98;YUANPING Shanxi (原平驿) - YANMEN Shanxi (雁门驿);{"type":"MultiLineString","coordinates":[[[112.949043273926,39.0603904724121],[112.712097167969,38.7266006469727]]]};1;MDYZK
52;89;603;LINFENYI Shanxi (临汾驿) - JIUYUANYI Shanxi (九原驿);{"type":"MultiLineString","coordinates":[[[112.731201,38.3985630000001],[112.478928,37.727589]]]};1;MDYZK
53;182;186;DONGGUANG Hebei (东光驿) - ANDE Shandong (安德);{"type":"MultiLineString","coordinates":[[[116.258102416992,37.6880073547363],[116.287414550781,37.4516448974609]]]};1;MDYZK
54;184;186;TAIPING Shandong (太平驿) - ANDE Shandong (安德);{"type":"MultiLineString","coordinates":[[[116.287414550781,37.4516448974609],[116.275787353516,37.151123046875]]]};1;MDYZK
55;180;184;YUQIU Shandong (鱼丘驿) - TAIPING Shandong (太平驿);{"type":"MultiLineString","coordinates":[[[116.275787353516,37.151123046875],[116.231002807617,36.8616218566895]]]};1;MDYZK
56;180;181;YUQIU Shandong (鱼丘驿) - CHISHAN Shandong (茌山驿);{"type":"MultiLineString","coordinates":[[[116.231002807617,36.8616218566895],[116.250228881836,36.5866165161133]]]};1;MDYZK
57;181;652;CHISHAN Shandong (茌山驿) - TONGCHENGYI Shandong (铜城驿);{"type":"MultiLineString","coordinates":[[[116.250228881836,36.5866165161133],[116.239425,36.3295860000001]]]};1;MDYZK
58;187;653;DONGYUAN Shandong (东原驿) - JIUXIANYI Shandong (旧县驿);{"type":"MultiLineString","coordinates":[[[116.236664,36.1210210000001],[116.299171447754,35.910343170166]]]};1;MDYZK
59;187;190;DONGYUAN Shandong (东原驿) - XINQIAO Shandong (新桥驿);{"type":"MultiLineString","coordinates":[[[116.299171447754,35.910343170166],[116.485557556152,35.7298545837402]]]};1;MDYZK
60;196;651;CHANGPINGYI Shandong (昌平驿) - XINJIAYI Shandong (新嘉驿);{"type":"MultiLineString","coordinates":[[[116.669609,35.6504020000001],[116.823699951172,35.556697845459]]]};1;MDYZK
61;196;199;CHANGPINGYI Shandong (昌平驿) - ZHU Shandong (邾城驿);{"type":"MultiLineString","coordinates":[[[116.823699951172,35.556697845459],[116.968437194824,35.4038200378418]]]};1;
62;199;203;ZHU Shandong (邾城驿) - TENGYANG Shandong (滕阳驿);{"type":"MultiLineString","coordinates":[[[116.968437194824,35.4038200378418],[117.158164978027,35.0860900878906]]]};1;MDYZ1K
63;203;204;TENGYANG Shandong (滕阳驿) - LIGUOJIAN Jiangsu (利国监驿);{"type":"MultiLineString","coordinates":[[[117.158164978027,35.0860900878906],[117.187683105469,34.2696342468262]]]};1;
64;200;204;SUIYANGYI Anhui (睢阳驿) - LIGUOJIAN Jiangsu (利国监驿);{"type":"MultiLineString","coordinates":[[[117.187683105469,34.2696342468262],[116.971397399902,33.6423683166504]]]};1;
65;200;208;SUIYANGYI Anhui (睢阳驿) - GUZHENYI Anhui (固镇驿);{"type":"MultiLineString","coordinates":[[[116.971397399902,33.6423683166504],[117.311707,33.3145750000002]]]};1;MDYZK
66;207;208;WANGZHUAN Anhui (王庄驿) - GUZHENYI Anhui (固镇驿);{"type":"MultiLineString","coordinates":[[[117.311707,33.3145750000002],[117.462586001148,33.1059719971698]]]};1;MDYZK
67;207;655;WANGZHUAN Anhui (王庄驿) - HAOLIANGYI Anhui (濠梁驿);{"type":"MultiLineString","coordinates":[[[117.462586001148,33.1059719971698],[117.537746,32.8653480000002]]]};1;
68;209;212;HONGXIN Anhui (红心驿) - CHIHE Anhui (池河驿);{"type":"MultiLineString","coordinates":[[[117.64022100121,32.9016339967412],[117.948669001243,32.5189859958938]]]};1;MDYZK
69;212;217;CHIHE Anhui (池河驿) - DALIUSHU Anhui (大柳树驿);{"type":"MultiLineString","coordinates":[[[117.948669001243,32.5189859958938],[118.304161071777,32.3169937133789]]]};1;MDYZK
70;217;220;DALIUSHU Anhui (大柳树驿) - JIANGDONGYI Jiangsu (江东驿);{"type":"MultiLineString","coordinates":[[[118.304161071777,32.3169937133789],[118.617599487305,32.064868927002]]]};1;
71;220;224;JIANGDONGYI Jiangsu (江东驿) - JIANGNINGYI Jiangsu (江宁驿);{"type":"MultiLineString","coordinates":[[[118.617599487305,32.064868927002],[118.768989562988,32.052562713623]]]};1;
72;210;655;DINGYUAN Anhui (定远) - HAOLIANGYI Anhui (濠梁驿);{"type":"MultiLineString","coordinates":[[[117.537746,32.8653480000002],[117.675689697266,32.5302467346193]]]};1;MDYZK
73;205;656;JINDOUYI Anhui (金斗驿) - HUCHENGYI Anhui (护城驿);{"type":"MultiLineString","coordinates":[[[117.571381001543,32.0650669971639],[117.276458740234,31.8644561767579]]]};1;MDYZK
74;197;658;SHUCHENG Anhui (舒城驿) - SANGOUYI Anhui (三沟驿);{"type":"MultiLineString","coordinates":[[[116.975045,31.5028980000001],[116.938537597656,31.4564476013183]]]};1;MDYZK
75;197;661;SHUCHENG Anhui (舒城驿) - MEIXINYI Anhui (梅心驿);{"type":"MultiLineString","coordinates":[[[116.938537597656,31.4564476013183],[117.02015,31.3403730000001]]]};1;MDYZK
76;192;195;LIUPU Shandong (刘普驿) - YANCHENG Shandong (宴城驿);{"type":"MultiLineString","coordinates":[[[116.652389526367,36.9453582763672],[116.780632019043,36.7010765075684]]]};1;MDYZK
77;234;236;YANGZHOU Jiangsu (扬州府) - JINGKOU Jiangsu (京口驿);{"type":"MultiLineString","coordinates":[[[119.437187194824,32.3912696838379],[119.444290161133,32.2064895629883]]]};1;
78;236;239;JINGKOU Jiangsu (京口驿) - YUNYANG Jiangsu (云阳驿);{"type":"MultiLineString","coordinates":[[[119.444290161133,32.2064895629883],[119.569854736328,31.9958019256592]]]};1;MDYZK
79;239;242;YUNYANG Jiangsu (云阳驿) - PILING Jiangsu (毗陵驿);{"type":"MultiLineString","coordinates":[[[119.569854736328,31.9958019256592],[119.952301025391,31.7827835083008]]]};1;MDYZK
80;242;245;PILING Jiangsu (毗陵驿) - XISHAN Jiangsu (锡山驿);{"type":"MultiLineString","coordinates":[[[119.952301025391,31.7827835083008],[120.297668457031,31.574613571167]]]};1;MDYZK
81;245;247;XISHAN Jiangsu (锡山驿) - GUSUYI Jiangsu (姑苏驿);{"type":"MultiLineString","coordinates":[[[120.297668457031,31.574613571167],[120.618621826172,31.3127098083496]]]};1;MDYZK
82;247;248;GUSUYI Jiangsu (姑苏驿) - PINGWANG Jiangsu (平望驿);{"type":"MultiLineString","coordinates":[[[120.618621826172,31.3127098083496],[120.630812958443,30.9840259779037]]]};1;MDYZK
83;248;249;PINGWANG Jiangsu (平望驿) - XISHUI Zhejiang (西水驿);{"type":"MultiLineString","coordinates":[[[120.630812958443,30.9840259779037],[120.753204345703,30.7674694061279]]]};1;MDYZK
84;246;249;ZAOLIN Zhejiang (皂林驿) - XISHUI Zhejiang (西水驿);{"type":"MultiLineString","coordinates":[[[120.753204345703,30.7674694061279],[120.418739318848,30.5304470062256]]]};1;
85;243;246;WUSHAN Zhejiang (吴山驿) - ZAOLIN Zhejiang (皂林驿);{"type":"MultiLineString","coordinates":[[[120.418739318848,30.5304470062256],[120.297332977998,30.4315379824767]]]};1;
86;243;244;WUSHAN Zhejiang (吴山驿) - WULIN Zhejiang (武林驿);{"type":"MultiLineString","coordinates":[[[120.297332977998,30.4315379824767],[120.16862487793,30.2941246032715]]]};1;
87;241;244;HUIJIANG Zhejiang (会江驿) - WULIN Zhejiang (武林驿);{"type":"MultiLineString","coordinates":[[[120.16862487793,30.2941246032715],[119.94775390625,30.0534343719482]]]};1;
88;240;241;TONGJIANG Zhejiang (桐江驿) - HUIJIANG Zhejiang (会江驿);{"type":"MultiLineString","coordinates":[[[119.94775390625,30.0534343719482],[119.664939880371,29.8024578094482]]]};1;
89;238;240;FUCHUN Zhejiang (富春驿) - TONGJIANG Zhejiang (桐江驿);{"type":"MultiLineString","coordinates":[[[119.664939880371,29.8024578094482],[119.49885559082,29.5444812774658]]]};1;
90;237;238;GUSHUI Zhejiang (濲水驿) - FUCHUN Zhejiang (富春驿);{"type":"MultiLineString","coordinates":[[[119.49885559082,29.5444812774658],[119.478851318359,29.2044525146484]]]};1;
