collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;pleiades_id;geonames_id;geometry;notes
incanto;60001;Abydos;http://topotime.org/places/60001;Abydos;26.405553;40.190912;501325;;[26.405553,40.190912];
incanto;60002;Acre;http://topotime.org/places/60002;Acre;35.072046;32.918629;678010;;[35.072046,32.918629];
incanto;60003;Agde;http://topotime.org/places/60003;Agde;3.468434;43.314327;147985;;[3.468434,43.314327];
incanto;60004;Aigues.Mortes;http://topotime.org/places/60004;Aigues-Mortes;4.193333;43.5675;;3038493;[4.193333,43.5675];
incanto;60005;Alexandrie;http://topotime.org/places/60005;Alexandria;29.894432;31.205574;727070;;[29.894432,31.205574];
incanto;60006;Alger;http://topotime.org/places/60006;Alger;3.068616;36.787242;295276;2507480;[3.068616,36.787242];
incanto;60013;Bône;http://topotime.org/places/60013;Annaba;7.747497;36.88176;306090;;[7.747497,36.88176];
incanto;60007;Anvers;http://topotime.org/places/60007;Antwerp;4.4;51.216667;108747;;[4.4,51.216667];
incanto;60008;Armenia;http://topotime.org/places/60008;Armenia;35.791048;36.767346;;;[35.791048,36.767346];A country
incanto;60009;Babylone;http://topotime.org/places/60009;Babylone;44.42;32.542;893951;;[44.42,32.542];
incanto;60113;Barbarie;http://topotime.org/places/60113;Barbarie;1.11;36.5;;;[1.11,36.5];A region? Barbary Coast
incanto;60110;Barcelone;http://topotime.org/places/60110;Barcelona;2.183333;41.383333;246343;;[2.183333,41.383333];
incanto;60010;Bayonne;http://topotime.org/places/60010;Bayonne;-1.474326;43.49288;;3034475;[-1.474326,43.49288];
incanto;60011;Beyrouth;http://topotime.org/places/60011;Beirut;35.505065;33.899231;678060;;[35.505065,33.899231];
incanto;60012;Black.Sea;http://topotime.org/places/60012;Black Sea;34;43;;;[34,43];A sea
incanto;60015;Brabant;http://topotime.org/places/60015;Brabant;3.53;51.53;;;[3.53,51.53];?
incanto;60016;Bruges;http://topotime.org/places/60016;Brugge;3.216667;51.2;108830;;[3.216667,51.2];
incanto;60017;Buca.Culfil;http://topotime.org/places/60017;Buca Culfil;21;38.2;;;[21,38.2];?
incanto;60018;Buca.maris.maioris;http://topotime.org/places/60018;Buca Maris Maioris;29.129;41.226;;;[29.129,41.226];?
incanto;60014;Bougie;http://topotime.org/places/60014;Béjaïa;5.096867;36.753741;305142;;[5.096867,36.753741];
incanto;60019;Cadix;http://topotime.org/places/60019;Cadix;-6.283333;36.533333;256177;;[-6.283333,36.533333];Theodosia
incanto;60020;Caffa;http://topotime.org/places/60020;Caffa;35.40311;45.026756;854743;;[35.40311,45.026756];
incanto;60112;Calabre;http://topotime.org/places/60112;Calabre;16.45752;38.993572;;;[16.45752,38.993572];Calabria, a region of S. Italy
incanto;60021;Cap.Malee;http://topotime.org/places/60021;Cap Malée;23.198611;36.438056;;;[23.198611,36.438056];
incanto;60023;Caput.Doble;http://topotime.org/places/60023;Caput Doble;1.32;51.12;79646;;[1.32,51.12];Modern Dover
incanto;60022;Caput.Martin;http://topotime.org/places/60022;Caput Martin;1;50.5;;;[1,50.5];
incanto;60111;Catalugna;http://topotime.org/places/60111;Catalonia;1.466667;41.816667;;;[1.466667,41.816667];A region
incanto;60024;Cembalo;http://topotime.org/places/60024;Cembalo;33.6;44.5;226770;;[33.6,44.5];Symbolen Limen; modern Balaklava
incanto;60025;Chios;http://topotime.org/places/60025;Chios;26.04135;38.42938;550496;;[26.04135,38.42938];
incanto;60026;Civita.Vecchia;http://topotime.org/places/60026;Civita Vecchia;11.787671;42.092341;514076;;[11.787671,42.092341];
incanto;60028;Collioure;http://topotime.org/places/60028;Collioure;3.081389;42.526667;;;[3.081389,42.526667];
incanto;60029;Constantinople;http://topotime.org/places/60029;Constantinople;28.958939;40.988729;520998;;[28.958939,40.988729];
incanto;60030;Corfou;http://topotime.org/places/60030;Corfu;19.771744;39.718361;530834;;[19.771744,39.718361];Corcyra
incanto;60031;Coron;http://topotime.org/places/60031;Coron;21.940778;36.964036;;;[21.940778,36.964036];?
incanto;60033;Crete;http://topotime.org/places/60033;Crete;25;35.2;;;[25,35.2];An island
incanto;60032;Cotrone;http://topotime.org/places/60032;Crotone;17.116667;39.083333;452317;;[17.116667,39.083333];
incanto;60034;Cyprus;http://topotime.org/places/60034;Cyprus;33.239826;35.019082;;;[33.239826,35.019082];An island
incanto;60035;Damas;http://topotime.org/places/60035;Damas;36.298378;33.512199;678106;;[36.298378,33.512199];Damascus
incanto;60036;Djerba;http://topotime.org/places/60036;Djerba;10.85;33.8;344383;;[10.85,33.8];Girba
incanto;60037;Dune;http://topotime.org/places/60037;Dune;2.32;51.05;;3020686;[2.32,51.05];Dunkirk?
incanto;60038;Durazzo;http://topotime.org/places/60038;Durazzo;19.469128;41.303976;481818;;[19.469128,41.303976];Dyrrachium; modern Durres
incanto;60039;England;http://topotime.org/places/60039;England;-0.116667;51.5;;;[-0.116667,51.5];A country
incanto;60040;Episkopi;http://topotime.org/places/60040;Episkopi;32.874638;34.660148;;;[32.874638,34.660148];probably Kourion
incanto;60041;Famagosta;http://topotime.org/places/60041;Famagosta;33.95;35.116667;;146617;[33.95,35.116667];
incanto;60042;Flanders;http://topotime.org/places/60042;Flanders;3.67;51.14;;;[3.67,51.14];A region
incanto;60043;Gaete;http://topotime.org/places/60043;s;13.575845;41.220392;432734;;[13.575845,41.220392];Caieta
incanto;60044;Gallipoli;http://topotime.org/places/60044;Gallipoli;26.455;40.367222;;;[26.455,40.367222];A peninsular region
incanto;60045;Genoa;http://topotime.org/places/60045;Genoa;8.932778;44.411111;383664;;[8.932778,44.411111];
incanto;60027;Clarence;http://topotime.org/places/60027;Glarentza;21.160558;37.934105;570390;;[21.160558,37.934105];Kyllene
incanto;60046;Grenade;http://topotime.org/places/60046;Granada;-3.600833;37.178056;;2517117;[-3.600833,37.178056];
incanto;60066;One;http://topotime.org/places/60066;Honaine;-1.661114;35.177762;;2493812;[-1.661114,35.177762];
incanto;60107;Istrie;http://topotime.org/places/60107;Istrie;13.9;45.28;197304;3175397;[13.9,45.28];A peninsula in Craotia
incanto;60047;Jaffa;http://topotime.org/places/60047;Jaffa;34.756943;32.054303;687931;;[34.756943,32.054303];Ioppe
incanto;60048;Jerusalem;http://topotime.org/places/60048;Jerusalem;35.216667;31.783333;687928;;[35.216667,31.783333];
incanto;60049;Laodicée;http://topotime.org/places/60049;Laodicée;35.769889;35.513174;668290;;[35.769889,35.513174];Laodicea
incanto;60050;Limassol;http://topotime.org/places/60050;Lemesos;33.041446;34.639816;707587;;[33.041446,34.639816];Neapolis/Theodosias
incanto;60109;Ligurie;http://topotime.org/places/60109;Ligurie;8.734722;44.455556;;3174725;[8.734722,44.455556];A province
incanto;60051;Lisbon;http://topotime.org/places/60051;Lisbon;-9.122201;38.702488;256338;;[-9.122201,38.702488];
incanto;60052;Locum.Buccari;http://topotime.org/places/60052;Locum Buccari;3.140964;39.923538;;;[3.140964,39.923538];??
incanto;60053;London;http://topotime.org/places/60053;London;-0.085691;51.507059;79574;;[-0.085691,51.507059];
incanto;60055;Malaga;http://topotime.org/places/60055;Malaga;-4.41506;36.72095;265963;;[-4.41506,36.72095];
incanto;60054;Majorque;http://topotime.org/places/60054;Mallorca;2.998611;39.58539;;2514239;[2.998611,39.58539];An iskand
incanto;60056;Marseille;http://topotime.org/places/60056;Marseille;5.369889;43.296346;148127;;[5.369889,43.296346];Massalia
incanto;60057;Maurocastron;http://topotime.org/places/60057;Maurocastron;30.316667;46.166667;226800;;[30.316667,46.166667];Tyras/Ophioussa
incanto;60058;Messine;http://topotime.org/places/60058;Messina;15.560811;38.192865;462538;;[15.560811,38.192865];Zancle/Messana
incanto;60059;Middlebourg;http://topotime.org/places/60059;Middlebourg;3.605556;51.494444;;;[3.605556,51.494444];Dutch town, no geonames id
incanto;60060;Modon;http://topotime.org/places/60060;Modon;21.709883;36.813244;570483;;[21.709883,36.813244];Methone; modern Methoni
incanto;60061;Monemvasia;http://topotime.org/places/60061;Monemvasia;23.055625;36.687586;;256795;[23.055625,36.687586];Founded 6th c.
incanto;60062;Montpellier;http://topotime.org/places/60062;Montpellier;3.877222;43.611944;;2992166;[3.877222,43.611944];
incanto;60063;Napoli;http://topotime.org/places/60063;Napoli;14.258106;40.825345;433014;;[14.258106,40.825345];
incanto;60064;Negrepont;http://topotime.org/places/60064;Negrepont;23.769356;38.572494;;262565;[23.769356,38.572494];An island, Euboea
incanto;60065;Nicosie;http://topotime.org/places/60065;Nicosie;33.35;35.167;462392;146268;[33.35,35.167];Nicosia
incanto;60067;Oran;http://topotime.org/places/60067;Oran;-0.651005;35.709941;;2485926;[-0.651005,35.709941];Founded 10c.
incanto;60068;Palerme;http://topotime.org/places/60068;Palermo;13.368583;38.120398;462410;;[13.368583,38.120398];Panormus
incanto;60069;Paphos;http://topotime.org/places/60069;Paphos;32.410604;34.754114;707596;;[32.410604,34.754114];
incanto;60070;Patras;http://topotime.org/places/60070;Patras;21.723553;38.247043;570567;;[21.723553,38.247043];Patrae
incanto;60071;Piombino;http://topotime.org/places/60071;Piombino;10.559041;42.934297;;3170674;[10.559041,42.934297];
incanto;60072;Pise;http://topotime.org/places/60072;Pisa;10.404239;43.716667;403253;;[10.404239,43.716667];
incanto;60073;Portus.Camere;http://topotime.org/places/60073;Portus Camere;1.9;51.26;;;[1.9,51.26];??
incanto;60074;Provato;http://topotime.org/places/60074;Provato;35.36;44.95;;;[35.36,44.95];??Crimea
incanto;60075;Pula;http://topotime.org/places/60075;Pula;13.831458;44.869725;197448;;[13.831458,44.869725];
incanto;60076;Ragusa;http://topotime.org/places/60076;Ragusa;18.103544;42.640699;;3201047;[18.103544,42.640699];Modern Dubrovnik?
