# title: Vicarello Beakers
# author: Anonymous
# language: la
# date (numeric): 300
# date: around 200 - 400 CE
# description: Dated to between 15 BCE and 15 CE, the Vicarello Beakers are four cylindrical vessels made of silver with heights varying between 95-153 mm. They were discovered in the Roman baths at Vicarello, Italy, apparently deposited as a votive offering. Although differing in the details, on the surface of each beaker is engraved the land route between Gades and Rome. They have traditionally been identified as miniature replicas of a milestone probably erected in Gades, perhaps similar in design to the Miliarium Aureum (the Golden Milestone) in Rome.
# collections: Latin Tradition
toponym;gazetteer_uri;gazetteer_label;lat;lng;place_category;document_part;status;tags;source;comment;img_x;img_y;img_all;
ROMAM;http://pleiades.stoa.org/places/423025;Roma;41.8926;12.4843;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XX;;;;
AD XX;http://pleiades.stoa.org/places/412998;Ad Vicesimum;42.1484;12.4768;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XXIIII;;;;
OCRICLO;http://pleiades.stoa.org/places/413231;Ocriculum;42.4136;12.4663;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XII;;;;
NARNIAM;http://pleiades.stoa.org/places/413225;Nequinum/Narnia;42.5176;12.5156;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XVIII;;;;
AD MARTIS;http://pleiades.stoa.org/places/413380;Vicus Martis;42.7509;12.5318;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XVI;;;;
MEVANIAM;http://pleiades.stoa.org/places/413200;Mevania;42.9349;12.6094;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XIX;;;;
NVCERIAM;http://pleiades.stoa.org/places/456102;Nuceria;;;;Vicarello Beaker 1;VERIFIED;"item,route6";;XV;;;;
HELVILLVM;http://pleiades.stoa.org/places/413167;Helvillum;43.2957;12.7621;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;X;;;;
HESIM;http://pleiades.stoa.org/places/412989;Ad Aesim;43.4035;12.6693;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XIII;;;;
AD CALEM;http://pleiades.stoa.org/places/413058;Cales;43.5468;12.6485;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XVIII;;;;
FORVM SEMPRONI;http://pleiades.stoa.org/places/413149;Forum Sempronii;43.6974;12.8291;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XVI;;;;
FANVM FORTVNAE;http://pleiades.stoa.org/places/413129;Fanum Fortunae;43.8443;13.0181;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;VIII;;;;
PISAVRVM;http://pleiades.stoa.org/places/413256;Pisaurum;43.911;12.9146;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XXIIII;;;;
ARIMINVM;http://pleiades.stoa.org/places/393379;Ariminum;44.0596;12.5703;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XX;;;;
CESENAM;http://pleiades.stoa.org/places/393397;Caesena;44.1391;12.2429;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XIII;;;;
FORVM LIVI;http://pleiades.stoa.org/places/393426;Forum Livii;44.2212;12.0427;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;X;;;;
FAVENTIAM;http://pleiades.stoa.org/places/393420;Faventia;44.2859;11.8845;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;X;;;;
FORVM CORNELI;http://pleiades.stoa.org/places/393424;Forum Cornelii;44.3535;11.7111;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XIII;;;;
CLATERNVM;http://pleiades.stoa.org/places/393405;Claterna;44.4421;11.4747;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;X;;;;
BONONIAM;http://pleiades.stoa.org/places/393421;Felsina/Bononia;44.4946;11.3418;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XXV;;;;
MVTINAM;http://pleiades.stoa.org/places/383715;Mutina;44.6471;10.9252;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XVII;;;;
LEPIDVM REGIVM;http://pleiades.stoa.org/places/383755;Regium Lepidum;44.6977;10.6308;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XVIII;;;;
PARMAM;http://pleiades.stoa.org/places/383737;Parma;44.8015;10.328;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XXV;;;;
FLORENTIAM;http://pleiades.stoa.org/places/383649;Florenti(ol)a;44.9281;9.911;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XV;;;;
PLACENTIAM;http://pleiades.stoa.org/places/383741;Placentia;45.0528;9.6966;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XVI;;;;
PLAMBRVM;http://pleiades.stoa.org/places/383685;Lambrum;45.1574;9.5266;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XX;;;;
TICINVM;http://pleiades.stoa.org/places/383798;Ticinum;45.1859;9.1566;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XXI;;;;
LAVMELLVM;http://pleiades.stoa.org/places/383690;Laumellum;45.1227;8.7938;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item,route6";;XIII;;;;
