collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;place_category;document_part;status;tags;comment;img_x;img_y;img_all;source
vb;vb0106;GADES;http://pleiades.stoa.org/places/256177;Gadeira/Gades/Col. Augusta Gaditana;-6.2944;36.5284;SETTLEMENT;Vicarello Beaker 1;VERIFIED;summary, route1;;;;;
vb;vb0104;AD PORTVM;http://pleiades.stoa.org/places/255955;Ad Portum/Gaditanus Portus;-6.1613;36.6271;;Vicarello Beaker 1;VERIFIED;item, route1;XXIIII;;;;
vb;vb0103;HASTAM;http://pleiades.stoa.org/places/256193;(H)Asta/Col. Hasta Regia/Ligystine?;-6.1815;36.7865;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route1;XVI;;;;
vb;vb0102;VGIAM;http://pleiades.stoa.org/places/256501;U(r)gia;-5.8293;36.9901;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route1;XXVII;;;;
vb;vb0101;ORIPPVM;http://pleiades.stoa.org/places/256343;Orippo;-6.0045;37.2738;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route1;XXIIII;;;;
vb;vb0100;HISPALIM;http://pleiades.stoa.org/places/256210;Hispalis/Col. Romula;-5.9963;37.3826;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route1;VIIII;;;;
vb;vb0099;CARMONEM;http://pleiades.stoa.org/places/256058;Carmo;-5.6507;37.4696;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route 2;XXII;;;;
vb;vb0098;OBVCLAM;http://pleiades.stoa.org/places/256332;Obulcula;-5.3163;37.5158;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route 2;XX;;;;
vb;vb0097;ASTIGIM;http://pleiades.stoa.org/places/255996;Astigi/Col. Augusta Firma;-5.08;37.5409;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route 2;XV;;;;
vb;vb0096;AD ARAS;http://pleiades.stoa.org/places/257485;Untitled;-4.9246;37.6786;MAN_MADE_STRUCTURE;Vicarello Beaker 1;VERIFIED;item;XII;;;;
vb;vb0095;CORDVBAM;http://pleiades.stoa.org/places/256128;Corduba/Col. Patricia;-4.7792;37.8847;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route 2;XXIII;;;;
vb;vb0094;AD X;http://pleiades.stoa.org/places/255952;Ad Decumum;-4.6545;37.9417;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route3;X;;;;
