# title: Vicarello Beakers
# places: places_vicarello.csv
# segmentType: hroute
# author: Anonymous
# pub_date: 2013
# contributors: R. Simon
# language: la
# date (numeric): 300
# timespan: [0200,,,0400,around 200 - 400 CE]
# description: Dated to between 15 BCE and 15 CE, the Vicarello Beakers are four cylindrical vessels made of silver with heights varying between 95-153 mm. They were discovered in the Roman baths at Vicarello, Italy, apparently deposited as a votive offering. Although differing in the details, on the surface of each beaker is engraved the land route between Gades and Rome. They have traditionally been identified as miniature replicas of a milestone probably erected in Gades, perhaps similar in design to the Miliarium Aureum (the Golden Milestone) in Rome.
# uri: [http://commons.pelagios.org/2013/10/iwp2-pelagios-and-the-beakers-of-vicarello/;http://pelagios.github.io/demos/vicarello-alpha/complete-sequence/]
# collections: Latin Tradition
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;beaker;tags;distance
vb;3001;3001-1;vb0106;vb0104;GADES <> AD PORTVM;[[-6.2944,36.5284],[-6.1613,36.6271]];;;;1;item, route1;24
vb;3001;3001-2;vb0104;vb0103;AD PORTVM <> HASTAM;[[-6.1613,36.6271],[-6.1815,36.7865]];;;;1;item, route1;16
vb;3001;3001-3;vb0103;vb0102;HASTAM <> VGIAM;[[-6.1815,36.7865],[-5.8293,36.9901]];;;;1;item, route1;27
vb;3001;3001-4;vb0102;vb0101;VGIAM <> ORIPPVM;[[-5.8293,36.9901],[-6.0045,37.2738]];;;;1;item, route1;24
vb;3001;3001-5;vb0101;vb0100;ORIPPVM <> HISPALIM;[[-6.0045,37.2738],[-5.9963,37.3826]];;;;1;item, route1;9
vb;3001;3001-6;vb0100;vb0099;HISPALIM <> CARMONEM;[[-5.9963,37.3826],[-5.6507,37.4696]];;;;1;item, route 2;22
vb;3001;3001-7;vb0099;vb0098;CARMONEM <> OBVCLAM;[[-5.6507,37.4696],[-5.3163,37.5158]];;;;1;item, route 2;20
vb;3001;3001-8;vb0098;vb0097;OBVCLAM <> ASTIGIM;[[-5.3163,37.5158],[-5.08,37.5409]];;;;1;item, route 2;15
vb;3001;3001-9;vb0097;vb0096;ASTIGIM <> AD ARAS;[[-5.08,37.5409],[-4.9246,37.6786]];;;;1;item;12
vb;3001;3001-10;vb0096;vb0095;AD ARAS <> CORDVBAM;[[-4.9246,37.6786],[-4.7792,37.8847]];;;;1;item, route 2;23
