# title: The Pilgramage of Xuanzang, 629-645CE
# places: places_xuanzang.csv
# segmentType: journey
# timespan: [629,,,645,]
# pub_date: 2010
# contributors: [Whitney Thorpe; Karl Grossner]
# description: Data originally extracted by W. Thorpe from Wriggens, S. (2003) 'The Silk Road journey with Xuanzang', Basic Books; edited by Grossner 2010
# uri:
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;notes
xuanzang;5001;5001-1;348203;367082;Chang'an-Liangzhou;;0629-01-01,,,0629-12-31,;?;;At the age of 27 Xuanzang left Chang'an (modern day Xian) China on a 16 year pilgrimage to India in search of original Buddhist texts and scriptures in the year 629 C.E. Chang'an was the capital of the Tang Dynasty at the time. The Tang Dynasty Emperor Taizong had made an imperial decree restricting travel outside China. Emperor Taizong was not sympathetic to Buddhists at the time, so Xuanzang had to begin his journey in the dead of night. In 645 C.E. when Xuanzang returned, he became a confidant and advisor to Emperor Taizong. He also became one of the most revered Chinese legendary figures. His legend extends into Buddhism, art, literary fields, and as a cultural figure. Xuanzang's pilgrimage also highlights the important role the Silk Road played in the diffusion of more than goods
xuanzang;5001;5001-2;367082;367112;Liangzhou - An-hsi;;0629-01-01,,,0629-12-31,;?;5001-1;
xuanzang;5001;5001-3;367112;367081;An-hsi - Jade Gate;;0629-01-01,,,0629-12-31,;?;5001-2;Xuanzang aquired supplies in An-hsi for the next leg of his trip, a 200 mile journey though the Gobi Desert to the oasis town of Hami.
xuanzang;5001;5001-4;367081;348065;Jae Gate - Hami;;0629-01-01,,,0629-12-31,;?;5001-3;Xuanzang had some troubles getting past the watchtowers in this region (See Episode 2). He had aquired a companion named Bandha who was supposed to help guide him past the Jade Gate.
xuanzang;5001;5001-5;348065;348060;Hami-Turfan;;0629-01-01,,,0629-12-31,;?;5001-4;From Hami Xuanzang was escorted to Turfan by a an envoy sent by the King of Turfan who had heard of his approach. Oasis towns like Hami, stationed along the Silk Road, were the places that acted as relay stations for the spread of religion, as well as goods on the Silk Road.
xuanzang;5001;5001-6;348060;367087;Turfan-Karashahr;;0630-01-01,,,0630-12-31,;?;5001-5;Xuanzang and his caravan were confronted by bandits after crossing the Qoltag Mountains while travelling towards Karashahr. They were able to bribe the bandits into doing them no harm.
xuanzang;5001;5001-7;367087;348063;Karashahr-Kucha;;0630-01-01,,,0630-12-31,;?;5001-6;After a 200 mile journey from Turfan, Xuanzang's caravan reached Karashahr (modern day Yanqi). Here he noted ten monasteries containing nearly 2,000 Buddhist monks. The monks were of the Hinayana school of Buddhism. he only stayed in Karashahr for one night before continuing on.
xuanzang;5001;5001-8;348063;348070;Kucha-Aksu;;0630-01-01,,,0630-12-31,;?;5001-7;Xuanzang travelled to Kucha after leaving Karasharh. Xuanzang and his caravan of travelers experienced what many other travelers often experienced on the Silk Road: bandits. Yet again, he and his caravan were met by a band of about 2,000 Turkish bandits two days out of Kucha. They gave Xuanzang's caravan no trouble, and the caravan eventually reached Aksu. The routes on the Silk Road connecting strings of oasis towns were prime locations for bandits. Travelers and merchants could not traverse the middle of the desert, or stay in the mountains, so they were forced to take the routes using each oasis to resupply. Bandits knew this, and took advantage of the geography of the Silk Road in regions where it was advantageous to them.
xuanzang;5001;5001-9;348070;357565;Aksu-Tokmak;;0630-01-01,,,0630-12-31,;?;5001-8;After losing one third of his caravan in his seven day trek across the Tien Shan Mountains on the Bedal Pass, Xuanzang made it to Tokmak, where the Great Khan of the Western Turks was staying.
xuanzang;5001;5001-10;357565;366587;Tokmak-Tashkent;;0630-01-01,,,0630-12-31,;?;5001-9;Between Tokmak and Tashkent Xuanzang crossed the area known as the land of ten thousand springs. The area is lush, with many springs, rivers, streams lending to its vibrant aray of trees, shrubs and grasses.
xuanzang;5001;5001-11;366587;366553;Tashkent-Samarkand;;0630-01-01,,,0630-12-31,;?;5001-10;
xuanzang;5001;5001-12;366553;345465;Samarkand-Kunduz;;0630-01-01,,,0630-12-31,;?;5001-11;
xuanzang;5001;5001-13;345465;345485;Kunduz-Balkh;;0630-01-01,,,0630-12-31,;?;5001-12;
xuanzang;5001;5001-14;345485;367085;Balkh-Bamiyan;;0630-01-01,,,0630-12-31,;?;5001-13;After struggling greatly through the snowy Hindu Kush mountains, Xuanzang and his company reached the Bamiyan Valley. There were 10 monasteries and several thousand monks belonging to Hinayana Buddhism. The king met him as he entered the city, where Xuanzang noted the heavy clothing and fur the people wore to protect themselves from the cold. It is here that Xuanzang encountered the giant Buddhas carved into the cliff walls and described them in his narrative. The descriptions may have served for some giant sculptures of Buddhas in China that were built after Xuanzang's return. Xuanzang stayed in Bamiyan for a month before continuing on towards Kapisi.
xuanzang;5001;5001-15;367085;367083;Bamiyan-Kapisi;;0630-01-01,,,0630-12-31,;?;5001-14;After nearly being lost in a snowstorm in the Black Mountains, Xuanzang luckily finds some hunters who guide him to Kapisi. There were 100 monasteries and over 6,000 Mayahanist Buddhist monks. Xuanzang took part of a five day religious assembly, much like a debate, which revealed that he had mastered nealry all the schools of Buddhism, not just his own. Kapisi is the first stop on his journey where he meets Jains and Hindus.
xuanzang;5001;5001-16;367083;345473;Kapisi-Nagarahara;;0630-01-01,,,0630-12-31,;?;5001-15;
xuanzang;5001;5001-17;345473;360292;Nagarahara-Peshawar;;0630-01-01,,,0630-12-31,;?;5001-16;Xuanzang traversed the Khyber Pass to reach Peshawar, this time he did not meet with bandits or harsh weather. He noted that the city was fairly desolate, with maybe one thousand families living in one corner of the city. He does find the area rich in Buddhist lore, and sites. There were once around 1,000 Buddhist monasteries, all empty and in ruins at the time of his visit. he also found many stupas in ruin. In Peshawar he noted about 100 Hindu temples, an example of how religion was changing in this area. Xuanzang visited several places associated with Buddhist legends, including a Pipal tree.
xuanzang;5001;5001-18;360292;360476;Pehawar-Charsadda;;0630-01-01,,,0630-12-31,;?;5001-17;Xuanzang detours through Charsadda to visit a Stupa commemorating a Buddhist story in which Buddha gives his eyes for charity.
xuanzang;5001;5001-19;360476;367092;Charsadda-Shabaz Gharhi;;0630-01-01,,,0630-12-31,;?;5001-18;
xuanzang;5001;5001-20;367092;367084;Shabaz Gharhi-Darel;;0630-01-01,,,0630-12-31,;?;5001-19;
xuanzang;5001;5001-21;367084;360498;Darel-Attock;;0630-01-01,,,0630-12-31,;?;5001-20;Xuanzang detoured from the direct route to India to head up the Swat valley, where 18,000 monks had once lived. During his pilgrimage he found very many monks, as Buddhism was in a state of decline in all of India. Xuanzang collected several Sutras while in the area.He eventually retraced his steps back down the valley and continued on toward Attock.
xuanzang;5001;5001-22;360498;367101;Attock-Taxila;;0630-01-01,,,0630-12-31,;?;5001-21;Xuanzang crossed the Indus river somewhere near Attock. Xuanzang mentions those trying to leave India carrying precious Indian goods would capsize in the river. "Its stream is extremely clear and rapid. Poisonous dragons and evil spirits dwell beneath this river in great numbers. Those who cross this river carrying with them rare gems of India, or celebrated flowers, or Sariras, the boat is suddenly overwhelmed by the waves." Hwui Li
xuanzang;5001;5001-23;367101;353703;Taxila-Shrinigar;;0630-01-01,,,0630-12-31,;?;5001-22;
xuanzang;5001;5001-24;353703;360248;Shrinigar-Sakala;;0633-01-01,,,0633-12-31,;?;5001-23;
xuanzang;5001;5001-25;360248;355104;Sakala-Chinabhukti;;0633-01-01,,,0633-12-31,;?;5001-24;Just outside Sakala, Xuanzang and his caravan encountered a band of 50 robbers who took their clothes and goods. The robbers then chased the group into a dired marsh with their swords drawn. A young monk helps Xuanzang escape, and the pair runs for help. Around 80 people from the nearby village assembled with weapons and followed Xuanzang and the young monk back to the marsh where the robbers were. The robbers fled, and the caravan was saved. \nAs the caravan was saddened and lamenting their misfortune they notice Xuanzang is in good spirits. "How is it that that the Master (Xuanzang) alone does not share in our sorrow, but is able to keep a smile on his face?" Answering he said: "The greatest gift which living creatures posses, is life. If life is safe, what need we care about the rest?" Hwui-Li
xuanzang;5001;5001-26;355104;354824;Chinabhukti-Jalandhara;;0634-01-01,,,0634-12-31,;?;5001-25;
xuanzang;5001;5001-27;354824;367102;Jalandhara-Bairata;;0634-01-01,,,0634-12-31,;?;5001-26;
xuanzang;5001;5001-28;367102;354407;Bairata-Mathura;;0634-01-01,,,0634-12-31,;?;5001-27;
xuanzang;5001;5001-29;354407;367106;Mathura-Srughna;;0634-01-01,,,0634-12-31,;?;5001-28;
xuanzang;5001;5001-30;367106;354448;Srughna-Matipura;;0635-01-01,,,0635-12-31,;?;5001-29;
xuanzang;5001;5001-31;354448;367093;Matipura-Sankasya;;0635-01-01,,,0635-12-31,;?;5001-30;
xuanzang;5001;5001-32;367093;354759;Sankasya-Kanyakubja;;0635-01-01,,,0635-12-31,;?;5001-31;
xuanzang;5001;5001-33;354759;367088;Kanyakubja-Kausambi;;0636-01-01,,,0636-12-31,;?;5001-32;After traipsing through dense jungles filled with elephants and other wild beast, Xuanzang reached Kausambi. Kausambi is the location of a Buddhist legend. King Udayana had a sandalwood image of the Buddha carved while the Buddha was in heaven preaching to his mother. When the Buddha returned to earth, the staue rose and saluted Buddha. Xuanzang had his third image of Buddha made here. It was a replica of the image from the temple.
xuanzang;5001;5001-34;367088;355631;Kausambi-Ayodhya;;0636-01-01,,,0636-12-31,;?;5001-33;
xuanzang;5001;5001-35;355631;367105;Ayodhya-Srvasti;;0636-01-01,,,0636-12-31,;?;5001-34;
xuanzang;5001;5001-36;367105;367103;Sravasti-Kapilavastu;;0636-01-01,,,0636-12-31,;?;5001-35;Xuanzang reached Kapilavastu after travelling through a semi tropical forested region filled with deserted monasteries. Kapilavastu was the kingdom where the buddha grew up.
xuanzang;5001;5001-37;367103;367095;Kapilavastu-Lumbini;;0636-01-01,,,0636-12-31,;?;5001-36;
xuanzang;5001;5001-38;367095;367104;Lumbini-Kusinagara;;0636-01-01,,,0636-12-31,;?;5001-37;
xuanzang;5001;5001-39;367104;367094;Kusinagara-Sarnath and Varanasi;;0637-01-01,,,0637-12-31,;?;5001-38;
xuanzang;5001;5001-40;367094;367107;Sarnath and Varanasi-Vaisali;;0637-01-01,,,0637-12-31,;?;5001-39;
xuanzang;5001;5001-41;367107;354119;Vaisali-Pataliputra;;0637-01-01,,,0637-12-31,;?;5001-40;
xuanzang;5001;5001-42;354119;355388;Pataliputra-Bodh Gaya;;0637-01-01,,,0637-12-31,;?;5001-41;
xuanzang;5001;5001-43;355388;367096;Bodh Gaya-Nalanda;;0637-01-01,,,0637-12-31,;?;5001-42;
xuanzang;5001;5001-44;367096;367109;Nalanda-Irana;;0637-01-01,,,0637-12-31,;?;5001-43;
xuanzang;5001;5001-45;367109;367108;Irana-Assam;;0638-01-01,,,0638-12-31,;?;5001-44;
xuanzang;5001;5001-46;367108;367111;Assam-Samatata;;0639-01-01,,,0639-12-31,;?;5001-45;
xuanzang;5001;5001-47;367111;353661;Samatata-Tamrallipti;;0639-01-01,,,0639-12-31,;?;5001-46;
xuanzang;5001;5001-48;353661;367113;Tamrallipti-Dhanakataka;;0639-01-01,,,0639-12-31,;?;5001-47;
xuanzang;5001;5001-49;367113;354770;Dhanakataka-Kancipuram;;0639-01-01,,,0639-12-31,;?;5001-48;
xuanzang;5001;5001-50;354770;354254;Kancipuram-Nasik;;0640-01-01,,,0640-12-31,;?;5001-49;
xuanzang;5001;5001-51;354254;367086;Nasik-Ajanta;;0641-01-01,,,0641-12-31,;?;5001-50;
xuanzang;5001;5001-52;367086;355463;Ajanta-Bharukaccha;;0641-01-01,,,0641-12-31,;?;5001-51;
xuanzang;5001;5001-53;355463;353566;Bharukaccha-Ujjayini;;0641-01-01,,,0641-12-31,;?;5001-52;Xuanzang's route is very unclear in this region. He probably was following the ancient trade routes, where Buddhist monasteries were often located. He stopped in Ujjayini, where not far from the capital there was an Asoka-raja stupa, where Asoka constructed his hell.
xuanzang;5001;5001-54;353566;360317;Ujjayini-Multan;;0641-01-01,,,0641-12-31,;?;5001-53;
xuanzang;5001;5001-55;360317;367110;Multan-Parvata;;0641-01-01,,,0641-12-31,;?;5001-54;
xuanzang;5001;5001-56;367110;367096;Parvata-Nalanda;;0642-01-01,,,0642-12-31,;?;5001-55;Xuanzang spent two months in Parvata before returning to Nalanda. His route back to Nalanda is uncertain. Xuanzang noted that near the capital of Parvata was a monastery with 100 monks. It was an important place because some Buddhist masters had composed some of their Sutras and Sastras in the location.
xuanzang;5001;5001-57;367096;367108;Nalanda-Assam;;0642-01-01,,,0642-12-31,;?;5001-56;
xuanzang;5001;5001-58;367108;354759;Assam-Kanyakubja;;0642-01-01,,,0642-12-31,;?;5001-57;
xuanzang;5001;5001-59;354759;355730;Kanyakubja-Prayaga;;0642-01-01,,,0642-12-31,;?;5001-58;Xuanzang accompanies King Harsha to Prayaga to celebrate his sixth Quinquennial Almsgiving. The king gave away all his possessions, then his vassals retrieve his goods. Offerings were also made to Buddha, and the Sun God.
xuanzang;5001;5001-60;355730;354824;Prayaga-Jalandhara;;0643-01-01,,,0643-12-31,;?;5001-59;Xuanzang passes through Jalandhara once again on his return trip to Chang'an. Xuanzang was joined by 100 monks carrying sciptures and images.
xuanzang;5001;5001-61;354824;367101;Jalandhara-Taxila;;0643-01-01,,,0643-12-31,;?;5001-60;Xuanzang passed through Taxila on his journey home. He was heading toward the Indus River, where he lost many manuscripts and texts in crossing.
xuanzang;5001;5001-62;367101;360498;Taxila-Attock;;0644-01-01,,,0644-12-31,;?;5001-61;Xuanzang rode into Attock/Hund on the magnificent elephant King Harsha had given him for his journey home. Xuanzang crossed the Indus on his elephant, while all the Sacred books, images and holy relics from the land of India he had collected were on a boat. "And now when the boat was in the mid-stream, all at once the winds ans the waters commingling, caused the waves to rise, and the boat, violently tossed, was almost swallowed up. The gaurdian of the books, filled with terror, fell into the water, but was finally rescued by the passengers
xuanzang;5001;5001-63;360498;345473;Attock-Nagarahara;;0644-01-01,,,0644-12-31,;?;5001-62;
xuanzang;5001;5001-64;345473;367083;Nagarahara-Kapisi;;0644-01-01,,,0644-12-31,;?;5001-63;
xuanzang;5001;5001-65;367083;367091;Kapisi-Andarab;;0644-01-01,,,0644-12-31,;?;5001-64;Xuanzang reached Andarab after a diffucult crossing of the Hindu Kush Mountains. In Andarab there were 3 monasteries where Xuanzang rested for 5 days before continuing on. \n"After seven days they reached a great mountain top
xuanzang;5001;5001-66;367091;345465;Andarab-Kunduz;;0644-01-01,,,0644-12-31,;?;5001-65;Xuanzang stopped in Kunduz again on his way home to China. He stayed one month waiting on copies of texts he had lost in the Indus River.
xuanzang;5001;5001-67;345465;345479;Kunduz-Faizabad;;0644-01-01,,,0644-12-31,;?;5001-66;Xuanzang stopped for one month in Faizabad because the passes of the Pamirs were still covered in snow. There were several monasteries here, and the area was abundant in ruby mines.
xuanzang;5001;5001-68;345479;367099;Faizabad-Tashkurghan;;0644-01-01,,,0644-12-31,;?;5001-67;
